 ,Umur,Uang Saku per Bulan,Frekuensi pemesanan menggunakan GrabFood dalam satu minggu,Saya mengutamakan membeli makanan yang diinginkan daripada yang dibutuhkan,Saya melakukan pemesanan pada GrabFood secara berlebihan,Saya melakukan pemesanan pada GrabFood karena terdapat penampilan makanan yang menarik,Saya melakukan pemesanan pada GrabFood untuk memenuhi gaya hidup karena FOMO (Fear of Missing Out),Saya melakukan pemesanan pada GrabFood karena ingin menaikkan status sosial,Saya melakukan pemesanan pada GrabFood karena tertarik dengan iklan yang ditayangkan,Saya melakukan pemesanan pada GrabFood karena diskon dan bonus yang ditawarkan,Saya melakukan pemesanan pada GrabFood karena ajakan teman,Saya melakukan pemesanan  pada GrabFood  karena dipengaruhi oleh lingkungan tempat tinggal,Saya melakukan pemesanan pada GrabFood atas pertimbangan harga bukan atas kebutuhan ,Saya melakukan pemesanan pada GrabFood karena terpengaruh oleh sosok yang diidolakan,Saya selalu menggunakan GrabFood untuk membeli makanan,Saya menggunakan GrabFood untuk membeli makanan agar dapat menghemat waktu,Saya menggunakan GrabFood untuk membeli makanan agar menghemat tenaga,Saya memahami cara pembayaran saat bertransaksi menggunakan layanan GrabFood,Saya memahami cara pemesanan makanan melalui layanan GrabFood,Saya merasa mudah dalam mencari kuliner yang diinginkan pada GrabFood,Saya merasa nyaman saat bertransaksi di aplikasi GrabFood dengan berbagai kemudahan yang ditawarkan,Saya menggunakan aplikasi GrabFood karena merchant yang bervariasi,Saya menggunakan aplikasi GrabFood karena pilihan kuliner yang beragam,Saya menggunakan aplikasi GrabFood karena ongkos kirim terjangkau
9/24/2023 13:10:45,20,Diatas Rp2.000.000,3,3,2,4,3,2,4,5,3,3,5,4,5,5,5,4,4,5,4,4,5,5
9/24/2023 13:10:59,21,Diatas Rp2.000.000,3,5,5,5,3,3,5,5,4,4,4,3,3,5,5,5,5,5,4,5,5,5
9/24/2023 13:12:20,20,Rp600.000 sampai Rp1.000.000,1,3,1,1,1,1,3,5,4,3,4,3,2,3,4,3,3,3,4,2,3,3
9/24/2023 13:13:56,20,Rp1.100.000 sampai Rp2.000.000,3,4,5,5,3,3,5,5,4,5,5,4,4,4,5,4,5,5,5,4,4,4
9/24/2023 13:20:10,20,Rp1.100.000 sampai Rp2.000.000,5,3,2,4,2,2,2,4,2,3,4,2,4,4,4,3,4,3,4,4,4,4
9/24/2023 13:21:54,21,Rp100.000 sampai Rp500.000,3,3,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4
9/24/2023 13:22:31,21,Rp600.000 sampai Rp1.000.000,2,4,2,4,2,2,4,4,4,2,3,2,4,4,4,5,5,4,4,4,4,4
9/24/2023 13:27:25,22,Rp1.100.000 sampai Rp2.000.000,3,5,4,5,5,4,4,5,4,4,5,5,5,5,5,5,4,5,4,5,4,5
9/24/2023 13:28:35,22,Rp100.000 sampai Rp500.000,3,4,2,4,1,1,4,5,3,4,3,1,4,5,5,5,5,5,5,5,5,4
9/24/2023 13:30:36,22,Rp100.000 sampai Rp500.000,5,4,5,4,4,5,4,4,4,4,2,4,5,4,4,3,4,4,4,5,4,5
9/24/2023 13:30:40,22,Rp1.100.000 sampai Rp2.000.000,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
9/24/2023 13:38:36,19,Rp1.100.000 sampai Rp2.000.000,3,4,4,4,3,2,5,5,4,4,5,5,5,4,4,4,5,4,4,5,4,5
9/24/2023 13:44:10,20,Rp600.000 sampai Rp1.000.000,2,5,2,2,2,2,4,4,4,4,4,2,4,4,4,4,3,4,4,3,4,4
9/24/2023 13:46:11,21,Diatas Rp2.000.000,5,4,3,4,4,4,4,4,5,5,3,4,4,4,4,4,4,5,5,5,5,5
9/24/2023 13:48:41,19,Rp1.100.000 sampai Rp2.000.000,2,4,3,4,4,2,5,5,4,5,5,4,5,5,5,4,4,5,5,4,4,4
9/24/2023 13:49:18,21,Rp600.000 sampai Rp1.000.000,3,3,2,1,1,1,4,4,3,2,2,1,3,4,4,5,5,5,4,3,5,3
9/24/2023 14:07:14,20,Rp600.000 sampai Rp1.000.000,3,5,2,4,3,2,4,4,4,2,3,2,4,4,4,5,4,4,4,4,4,4
9/24/2023 14:08:17,21,Rp1.100.000 sampai Rp2.000.000,1,3,4,1,2,1,5,5,4,5,3,1,1,3,5,5,5,4,5,4,5,5
9/24/2023 14:08:19,20,Rp600.000 sampai Rp1.000.000,1,5,1,1,1,1,1,5,1,5,5,1,1,5,1,5,5,5,3,3,3,1
9/24/2023 14:11:14,21,Rp600.000 sampai Rp1.000.000,5,5,3,4,2,2,4,5,5,4,5,3,4,4,4,5,5,5,5,5,5,5
9/24/2023 14:11:19,22,Rp1.100.000 sampai Rp2.000.000,4,5,4,5,4,5,4,5,4,5,5,3,5,5,5,5,5,5,5,4,5,5
9/24/2023 14:48:08,22,Diatas Rp2.000.000,2,5,3,4,3,4,3,4,3,4,3,4,3,4,4,4,4,5,4,3,4,4
9/24/2023 15:03:08,21,Rp600.000 sampai Rp1.000.000,1,4,4,4,4,4,4,4,4,3,4,2,3,4,4,4,4,4,4,4,4,4
9/24/2023 15:33:00,22,Rp100.000 sampai Rp500.000,5,4,4,2,1,1,1,5,1,1,3,1,4,5,5,5,5,5,5,5,5,5
9/24/2023 15:37:33,22,Rp600.000 sampai Rp1.000.000,1,2,3,4,2,2,5,5,5,4,3,2,4,4,4,4,5,5,5,4,4,4
9/24/2023 15:38:34,19,Rp600.000 sampai Rp1.000.000,4,4,3,4,3,3,4,5,4,5,4,3,4,4,5,5,5,5,4,4,4,4
9/24/2023 15:38:55,21,Rp1.100.000 sampai Rp2.000.000,5,2,3,4,3,2,4,4,4,3,4,4,5,5,4,4,4,4,4,4,5,5
9/24/2023 17:44:47,21,Rp1.100.000 sampai Rp2.000.000,2,5,3,2,5,2,3,5,4,3,3,2,3,5,4,4,4,4,5,4,3,3
9/24/2023 18:47:37,20,Rp100.000 sampai Rp500.000,1,1,2,1,1,1,2,4,3,3,3,1,2,2,4,3,3,3,3,3,2,2
9/24/2023 19:02:10,19,Rp600.000 sampai Rp1.000.000,4,3,2,3,1,1,3,4,3,3,3,1,4,4,5,5,5,4,4,4,4,4
9/24/2023 19:06:47,20,Rp600.000 sampai Rp1.000.000,1,5,1,3,1,1,3,4,3,3,5,1,2,3,5,5,5,4,4,4,4,3
9/24/2023 19:07:42,20,Rp1.100.000 sampai Rp2.000.000,5,3,2,4,1,1,2,5,5,5,5,2,1,5,5,5,4,5,4,4,4,4
9/24/2023 19:32:48,20,Rp1.100.000 sampai Rp2.000.000,2,2,2,2,1,1,1,5,2,3,5,1,1,2,2,5,5,5,5,5,5,2
9/24/2023 20:01:01,20,Rp100.000 sampai Rp500.000,1,3,1,1,1,1,5,5,1,1,5,5,1,1,5,5,5,3,2,1,1,1
9/25/2023 13:14:43,19,Rp1.100.000 sampai Rp2.000.000,2,4,3,4,4,2,4,5,4,4,4,4,5,4,4,4,4,5,4,4,5,4
9/25/2023 13:49:01,20,Rp600.000 sampai Rp1.000.000,3,4,2,3,2,3,5,5,4,4,5,4,4,3,3,4,4,4,4,4,5,4
9/25/2023 13:54:37,21,Diatas Rp2.000.000,2,4,4,4,3,3,5,5,3,4,5,4,5,5,4,5,5,5,5,5,5,4
9/25/2023 14:13:19,18,Rp1.100.000 sampai Rp2.000.000,2,3,3,4,3,3,4,5,5,4,5,5,5,4,4,4,5,4,5,5,5,4
9/25/2023 14:33:23,20,Diatas Rp2.000.000,5,4,2,3,2,2,4,5,4,4,5,4,5,4,4,4,5,4,5,5,4,3
9/25/2023 17:00:47,22,Diatas Rp2.000.000,3,4,2,4,2,2,4,5,4,4,5,4,5,4,4,5,4,5,4,4,4,4
9/25/2023 19:40:59,20,Rp1.100.000 sampai Rp2.000.000,3,4,3,3,3,2,5,4,4,4,4,4,5,4,5,4,4,5,4,4,5,4
9/25/2023 19:48:34,21,Rp1.100.000 sampai Rp2.000.000,3,4,4,4,3,3,5,5,4,4,5,3,5,4,4,4,5,5,4,4,4,3
9/25/2023 19:52:43,18,Rp1.100.000 sampai Rp2.000.000,5,4,2,4,2,2,5,5,4,4,4,3,5,4,5,4,5,4,5,4,5,3
9/25/2023 19:59:02,20,Rp1.100.000 sampai Rp2.000.000,3,4,2,4,2,2,4,5,4,3,4,3,5,4,4,5,4,5,4,4,5,3
9/25/2023 20:03:28,21,Rp1.100.000 sampai Rp2.000.000,3,4,4,4,3,4,4,5,4,5,4,3,5,4,4,5,4,5,4,5,4,4
9/25/2023 20:21:42,21,Diatas Rp2.000.000,3,4,3,4,2,4,5,4,4,5,4,4,5,5,4,4,5,5,4,4,5,4
9/25/2023 20:51:49,21,Diatas Rp2.000.000,4,3,3,5,2,2,5,5,4,4,5,4,5,4,5,5,4,4,5,4,4,3
9/25/2023 21:52:06,22,Diatas Rp2.000.000,5,4,3,5,2,2,5,5,5,4,5,3,5,4,4,4,5,4,5,5,4,4
9/25/2023 21:53:28,18,Rp1.100.000 sampai Rp2.000.000,2,4,3,4,2,2,4,5,3,4,5,3,5,4,4,5,4,4,5,5,5,4
9/26/2023 4:10:23,20,Diatas Rp2.000.000,3,4,4,5,3,3,4,5,3,3,4,3,4,5,5,5,5,5,5,5,5,4
9/26/2023 7:25:03,20,Rp100.000 sampai Rp500.000,3,4,3,4,3,3,4,5,4,3,5,3,3,5,5,5,5,5,4,5,5,5
9/26/2023 8:38:19,22,Rp1.100.000 sampai Rp2.000.000,2,4,3,4,3,2,5,5,4,4,5,3,4,5,5,5,5,5,4,5,5,3
9/26/2023 8:51:45,23,Rp100.000 sampai Rp500.000,3,4,4,4,4,2,2,4,2,4,4,2,4,2,4,4,4,4,4,4,4,4
9/26/2023 9:20:18,19,Rp1.100.000 sampai Rp2.000.000,3,4,4,4,2,4,5,5,4,5,4,2,5,4,5,4,5,4,5,5,5,4
9/26/2023 9:59:05,21,Rp1.100.000 sampai Rp2.000.000,3,4,5,4,5,5,4,4,4,5,5,4,4,5,4,4,5,4,5,5,4,5
9/26/2023 11:42:14,22,Rp1.100.000 sampai Rp2.000.000,2,4,3,4,2,3,5,5,4,4,4,3,3,4,4,5,5,4,4,4,5,4
9/26/2023 12:01:11,20,Rp600.000 sampai Rp1.000.000,1,4,2,4,4,3,5,5,4,4,4,3,2,4,4,5,5,4,4,4,4,3
9/26/2023 12:44:29,22,Rp1.100.000 sampai Rp2.000.000,3,5,4,4,5,4,5,4,5,4,5,4,5,4,5,4,5,5,4,4,5,5
9/26/2023 13:46:34,20,Diatas Rp2.000.000,1,4,1,1,1,1,4,5,1,1,5,1,1,1,1,5,5,3,4,2,2,2
9/26/2023 13:52:40,22,Rp1.100.000 sampai Rp2.000.000,1,2,2,4,3,3,5,5,4,5,5,2,3,3,4,5,5,5,5,5,4,5
9/26/2023 14:21:04,20,Diatas Rp2.000.000,4,4,3,2,1,1,1,4,4,3,3,1,5,3,5,5,4,4,4,4,4,2
9/26/2023 16:22:43,21,Rp1.100.000 sampai Rp2.000.000,2,5,3,4,3,3,5,5,4,4,5,4,4,5,5,5,5,5,4,4,4,4
9/26/2023 16:27:48,20,Diatas Rp2.000.000,5,5,4,5,4,4,5,5,4,5,4,4,4,5,5,5,5,4,5,5,5,5
9/26/2023 16:34:08,20,Diatas Rp2.000.000,4,3,3,4,2,2,4,5,4,4,4,3,4,5,5,5,5,4,5,4,4,5
9/26/2023 16:37:10,21,Rp1.100.000 sampai Rp2.000.000,2,4,3,5,4,3,5,4,5,5,4,4,3,4,4,5,5,4,4,4,5,4
9/26/2023 16:39:15,19,Rp1.100.000 sampai Rp2.000.000,3,5,4,4,4,3,4,5,5,4,5,3,4,4,5,5,5,4,5,5,5,5
9/26/2023 16:49:22,21,Rp1.100.000 sampai Rp2.000.000,2,5,3,5,5,4,5,4,4,4,4,3,5,5,5,4,4,5,5,5,5,5
9/26/2023 17:00:22,20,Diatas Rp2.000.000,5,4,5,5,4,4,5,4,4,5,4,4,4,4,4,4,5,5,4,4,5,3
9/26/2023 17:03:06,21,Rp1.100.000 sampai Rp2.000.000,3,5,4,4,3,3,4,5,4,4,5,4,4,4,4,5,5,4,5,5,5,5
9/26/2023 17:10:15,20,Diatas Rp2.000.000,4,4,4,4,3,3,4,4,4,4,4,4,4,5,5,5,5,5,5,4,5,4
